avg_spread,deg_assortativity,visibility,deg_assortativity_str
574.6,0.1289493357670261,1.0,0.13
313.4,0.1289493357670261,3.0,0.13
330.0,0.1289493357670261,5.0,0.13
506.6,0.1289493357670261,7.000000000000001,0.13
743.4,0.1289493357670261,9.0,0.13
530.2,0.1289493357670261,11.0,0.13
711.8,0.1289493357670261,13.0,0.13
852.0,0.1289493357670261,15.0,0.13
986.0,0.1289493357670261,17.0,0.13
671.4,0.1289493357670261,19.0,0.13
857.6,0.1289493357670261,21.0,0.13
186.6,0.11354126713230739,1.0,0.11
946.6,0.11354126713230739,3.0,0.11
571.4,0.11354126713230739,5.0,0.11
740.4,0.11354126713230739,7.000000000000001,0.11
610.0,0.11354126713230739,9.0,0.11
715.6,0.11354126713230739,11.0,0.11
596.8,0.11354126713230739,13.0,0.11
915.8,0.11354126713230739,15.0,0.11
1007.8,0.11354126713230739,17.0,0.11
916.8,0.11354126713230739,19.0,0.11
979.4,0.11354126713230739,21.0,0.11
534.4,0.0953540261918207,1.0,0.1
550.8,0.0953540261918207,3.0,0.1
992.0,0.0953540261918207,5.0,0.1
921.2,0.0953540261918207,7.000000000000001,0.1
815.0,0.0953540261918207,9.0,0.1
551.0,0.0953540261918207,11.0,0.1
1030.2,0.0953540261918207,13.0,0.1
768.0,0.0953540261918207,15.0,0.1
652.0,0.0953540261918207,17.0,0.1
1014.8,0.0953540261918207,19.0,0.1
876.6,0.0953540261918207,21.0,0.1
