avg_spread,deg_assortativity,visibility,deg_assortativity_str
241.4,0.21704663087483905,17.0,0.22
297.6,0.21704663087483905,19.0,0.22
412.6,0.21704663087483905,21.0,0.22
218.6,0.18972438134732433,1.0,0.19
258.6,0.18972438134732433,3.0,0.19
454.0,0.18972438134732433,5.0,0.19
673.6,0.18972438134732433,7.000000000000001,0.19
347.4,0.18972438134732433,9.0,0.19
421.8,0.18972438134732433,11.0,0.19
498.6,0.18972438134732433,13.0,0.19
601.2,0.18972438134732433,15.0,0.19
361.8,0.18972438134732433,17.0,0.19
462.8,0.18972438134732433,19.0,0.19
604.8,0.18972438134732433,21.0,0.19
251.2,0.16794126508781984,1.0,0.17
367.2,0.16794126508781984,3.0,0.17
349.6,0.16794126508781984,5.0,0.17
308.6,0.16794126508781984,7.000000000000001,0.17
578.6,0.16794126508781984,9.0,0.17
708.4,0.16794126508781984,11.0,0.17
619.4,0.16794126508781984,13.0,0.17
370.6,0.16794126508781984,15.0,0.17
533.0,0.16794126508781984,17.0,0.17
642.0,0.16794126508781984,19.0,0.17
718.6,0.16794126508781984,21.0,0.17
378.2,0.14911596407600908,1.0,0.15
435.6,0.14911596407600908,3.0,0.15
396.2,0.14911596407600908,5.0,0.15
912.8,0.14911596407600908,7.000000000000001,0.15
593.0,0.14911596407600908,9.0,0.15
703.6,0.14911596407600908,11.0,0.15
628.4,0.14911596407600908,13.0,0.15
459.6,0.14911596407600908,15.0,0.15
609.4,0.14911596407600908,17.0,0.15
697.8,0.14911596407600908,19.0,0.15
483.8,0.14911596407600908,21.0,0.15
326.6,0.13430689849030536,1.0,0.13
539.6,0.13430689849030536,3.0,0.13
497.0,0.13430689849030536,5.0,0.13
325.0,0.13430689849030536,7.000000000000001,0.13
421.2,0.13430689849030536,9.0,0.13
960.0,0.13430689849030536,11.0,0.13
787.8,0.13430689849030536,13.0,0.13
844.4,0.13430689849030536,15.0,0.13
663.8,0.13430689849030536,17.0,0.13
820.2,0.13430689849030536,19.0,0.13
778.0,0.13430689849030536,21.0,0.13
201.4,0.11989591646657462,1.0,0.12
633.4,0.11989591646657462,3.0,0.12
648.4,0.11989591646657462,5.0,0.12
674.8,0.11989591646657462,7.000000000000001,0.12
1273.0,0.11989591646657462,9.0,0.12
857.0,0.11989591646657462,11.0,0.12
1027.0,0.11989591646657462,13.0,0.12
1011.6,0.11989591646657462,15.0,0.12
690.0,0.11989591646657462,17.0,0.12
1081.4,0.11989591646657462,19.0,0.12
916.0,0.11989591646657462,21.0,0.12
368.0,0.10787439028403602,1.0,0.11
425.2,0.10787439028403602,3.0,0.11
616.6,0.10787439028403602,5.0,0.11
569.6,0.10787439028403602,7.000000000000001,0.11
1257.4,0.10787439028403602,9.0,0.11
1387.8,0.10787439028403602,11.0,0.11
912.8,0.10787439028403602,13.0,0.11
1126.2,0.10787439028403602,15.0,0.11
804.8,0.10787439028403602,17.0,0.11
869.6,0.10787439028403602,19.0,0.11
1007.2,0.10787439028403602,21.0,0.11
